Date : 2022-12-03 15:31:28
Directory : c:\Users\gasan\.vscode\flutter projects\kids_app
Total : 62 files,  7718 codes, 2913 comments, 574 blanks, all 11205 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         18 |      6,267 |      2,649 |        317 |      9,233 |
| C++             |         16 |        502 |        107 |        170 |        779 |
| XML             |         10 |        473 |         48 |         12 |        533 |
| JSON            |          4 |        248 |          0 |          4 |        252 |
| Gradle          |          3 |         89 |          9 |         23 |        121 |
| YAML            |          2 |         41 |         81 |         19 |        141 |
| Swift           |          4 |         40 |          3 |         12 |         55 |
| HTML            |          1 |         37 |         16 |          6 |         59 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         62 |      7,718 |      2,913 |        574 |     11,205 |
| android                                                                                                        |         12 |        166 |         55 |         34 |        255 |
| android\app                                                                                                    |          8 |        123 |         55 |         23 |        201 |
| android\app\src                                                                                                |          7 |         69 |         46 |          9 |        124 |
| android\app\src\debug                                                                                          |          1 |          4 |          4 |          1 |          9 |
| android\app\src\main                                                                                           |          5 |         61 |         38 |          7 |        106 |
| android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |          4 |          4 |          1 |          9 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                     |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                     |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                  |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                          |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                            |         17 |      6,253 |      2,639 |        310 |      9,202 |
| lib\data                                                                                                       |          1 |        514 |        131 |         30 |        675 |
| lib\domain                                                                                                     |          2 |        113 |          7 |         23 |        143 |
| lib\domain\entities                                                                                            |          2 |        113 |          7 |         23 |        143 |
| lib\ui                                                                                                         |         13 |      5,564 |      2,499 |        252 |      8,315 |
| lib\ui\lists                                                                                                   |          7 |      3,073 |      1,545 |        121 |      4,739 |
| lib\ui\main_menu                                                                                               |          1 |         88 |          6 |          4 |         98 |
| lib\ui\my_cards                                                                                                |          1 |        414 |        294 |         23 |        731 |
| lib\ui\splash_screen                                                                                           |          2 |        126 |         36 |         26 |        188 |
| linux                                                                                                          |          5 |         94 |         27 |         38 |        159 |
| linux\flutter                                                                                                  |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                                          |          5 |        439 |          3 |         12 |        454 |
| macos\Flutter                                                                                                  |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                                   |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                        |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                           |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                            |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                                        |         10 |        407 |         80 |        131 |        618 |
| windows\flutter                                                                                                |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                                 |          8 |        396 |         71 |        120 |        587 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                       | language        | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\gasan\.vscode\flutter projects\kids_app\README.md                                                     | Markdown        |         10 |          0 |          7 |         17 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\analysis_options.yaml                                         | YAML            |          3 |         23 |          4 |         30 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\build.gradle                                      | Gradle          |         54 |          9 |         14 |         77 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\debug\AndroidManifest.xml                     | XML             |          4 |          4 |          1 |          9 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\AndroidManifest.xml                      | XML             |         35 |          6 |          1 |         42 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\drawable-v21\launch_background.xml   | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\drawable\launch_background.xml       | XML             |          4 |          7 |          2 |         13 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\values-night\styles.xml              | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\main\res\values\styles.xml                    | XML             |          9 |          9 |          1 |         19 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\app\src\profile\AndroidManifest.xml                   | XML             |          4 |          4 |          1 |          9 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\build.gradle                                          | Gradle          |         27 |          0 |          5 |         32 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle.properties                                     | Java Properties |          3 |          0 |          1 |          4 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle\wrapper\gradle-wrapper.properties              | Java Properties |          5 |          0 |          1 |          6 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\android\settings.gradle                                       | Gradle          |          8 |          0 |          4 |         12 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\AppDelegate.swift                                  | Swift           |         12 |          0 |          2 |         14 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON            |        122 |          0 |          1 |        123 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON            |         23 |          0 |          1 |         24 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown        |          3 |          0 |          2 |          5 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML             |         36 |          1 |          1 |         38 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\Main.storyboard                         | XML             |         25 |          1 |          1 |         27 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Runner-Bridging-Header.h                           | C++             |          1 |          0 |          1 |          2 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart                              | Dart            |        514 |        131 |         30 |        675 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.dart                          | Dart            |         65 |          3 |         15 |         83 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.g.dart                        | Dart            |         48 |          4 |          8 |         60 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\main.dart                                                 | Dart            |         62 |          2 |          5 |         69 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart                                       | Dart            |        781 |         59 |         23 |        863 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart                                     | Dart            |      1,082 |        559 |         55 |      1,696 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart                                   | Dart            |        431 |        209 |         16 |        656 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart                                  | Dart            |        443 |        209 |         16 |        668 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart                                    | Dart            |        457 |        272 |         20 |        749 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart                                     | Dart            |        435 |        209 |         16 |        660 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart                                | Dart            |        443 |        209 |         17 |        669 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart                                   | Dart            |        445 |        229 |         20 |        694 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart                                   | Dart            |        419 |        208 |         16 |        643 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\main_menu\main_menu.dart                               | Dart            |         88 |          6 |          4 |         98 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart                                 | Dart            |        414 |        294 |         23 |        731 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_congratulate.dart                 | Dart            |         54 |         35 |         14 |        103 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_screen.dart                       | Dart            |         72 |          1 |         12 |         85 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.cc                  | C++             |          3 |          4 |          5 |         12 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.h                   | C++             |          5 |          5 |          6 |         16 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\linux\main.cc                                                 | C++             |          5 |          0 |          2 |          7 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.cc                                       | C++             |         74 |         11 |         20 |        105 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.h                                        | C++             |          7 |          7 |          5 |         19 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift           |          8 |          3 |          4 |         15 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\AppDelegate.swift                                | Swift           |          8 |          0 |          2 |         10 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON            |         68 |          0 |          1 |         69 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Base.lproj\MainMenu.xib                          | XML             |        343 |          0 |          1 |        344 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\MainFlutterWindow.swift                          | Swift           |         12 |          0 |          4 |         16 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml                                                  | YAML            |         38 |         58 |         15 |        111 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\test\widget_test.dart                                         | Dart            |         14 |         10 |          7 |         31 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\web\index.html                                                | HTML            |         37 |         16 |          6 |         59 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\web\manifest.json                                             | JSON            |         35 |          0 |          1 |         36 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.cc                | C++             |          6 |          4 |          5 |         15 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.h                 | C++             |          5 |          5 |          6 |         16 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\flutter_window.cpp                             | C++             |         45 |          4 |         13 |         62 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\flutter_window.h                               | C++             |         20 |          5 |          9 |         34 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\main.cpp                                       | C++             |         30 |          4 |         10 |         44 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\resource.h                                     | C++             |          9 |          6 |          2 |         17 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\utils.cpp                                      | C++             |         53 |          2 |         10 |         65 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\utils.h                                        | C++             |          8 |          6 |          6 |         20 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\win32_window.cpp                               | C++             |        183 |         15 |         48 |        246 |
| c:\Users\gasan\.vscode\flutter projects\kids_app\windows\runner\win32_window.h                                 | C++             |         48 |         29 |         22 |         99 |
| Total                                                                                                          |                 |      7,718 |      2,913 |        574 |     11,205 |
+----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
