"filename", "language", "C++", "Markdown", "YAML", "Dart", "JSON", "Swift", "HTML", "XML", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\gasan\.vscode\flutter projects\kids_app\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\gasan\.vscode\flutter projects\kids_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\data\provider_for_cards.dart", "Dart", 0, 0, 0, 416, 0, 0, 0, 0, 0, 0, 414, 53, 883
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 3, 15, 83
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\domain\entities\item_entity.g.dart", "Dart", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 4, 8, 60
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\main.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 2, 5, 69
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\create_item.dart", "Dart", 0, 0, 0, 806, 0, 0, 0, 0, 0, 0, 52, 28, 886
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\list_for_kids.dart", "Dart", 0, 0, 0, 1041, 0, 0, 0, 0, 0, 0, 408, 45, 1494
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\draw_list.dart", "Dart", 0, 0, 0, 416, 0, 0, 0, 0, 0, 0, 162, 15, 593
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\drink_list.dart", "Dart", 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 162, 15, 605
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\eat_list.dart", "Dart", 0, 0, 0, 489, 0, 0, 0, 0, 0, 0, 242, 20, 751
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\go_list.dart", "Dart", 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 162, 15, 597
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\hygiene_list.dart", "Dart", 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 162, 15, 605
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\play_list.dart", "Dart", 0, 0, 0, 430, 0, 0, 0, 0, 0, 0, 165, 18, 613
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\lists\rest_list.dart", "Dart", 0, 0, 0, 405, 0, 0, 0, 0, 0, 0, 161, 15, 581
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\main_menu\main_menu.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 6, 4, 98
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\my_cards\my_cards.dart", "Dart", 0, 0, 0, 318, 0, 0, 0, 0, 0, 0, 204, 19, 541
"c:\Users\gasan\.vscode\flutter projects\kids_app\lib\ui\splash_screen\splash_screen.dart", "Dart", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 12, 85
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\gasan\.vscode\flutter projects\kids_app\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 23
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\gasan\.vscode\flutter projects\kids_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\gasan\.vscode\flutter projects\kids_app\pubspec.yaml", "YAML", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 66, 14, 119
"c:\Users\gasan\.vscode\flutter projects\kids_app\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\gasan\.vscode\flutter projects\kids_app\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 16, 6, 59
"c:\Users\gasan\.vscode\flutter projects\kids_app\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\gasan\.vscode\flutter projects\kids_app\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
